!tlab(MeV)   1s0         3s1           3d1       e1        3p0        1p1      3p1      3p2      1d2      3d2      3d3
  0.000     0.00000   180.00000     0.00000   0.00000   0.00000    0.00000    0.00000  0.00000  0.00000  0.00000  0.00000
  0.010    14.55100   176.59360     0.00000   0.00010   0.00000   -0.00020    0.00000  0.00000  0.00000  0.00000  0.00000
  0.040    27.10300   173.21450    -0.00000   0.00100   0.00010   -0.00170   -0.00010  0.00000  0.00000  0.00000  0.00000
  0.160    44.47200   166.49830    -0.00010   0.00780   0.01200   -0.01310   -0.00730  0.00130  0.00010  0.00000  0.00000
  0.500    57.11883   156.58542    -0.00098   0.04063   0.06557   -0.06974   -0.03970  0.00760  0.00021  0.00112  0.00002
  1.000    62.06863   147.74750    -0.00517   0.10515   0.17980   -0.18745   -0.10827  0.02168  0.00112  0.00598  0.00010
  1.500    63.78702   141.44308    -0.01334   0.17773   0.32088   -0.32797   -0.19197  0.04013  0.00292  0.01555  0.00024
  2.000    64.46476   136.46342    -0.02572   0.25296   0.48041   -0.48182   -0.28554  0.06215  0.00566  0.03021  0.00044
  2.500    64.68038   132.32729    -0.04232   0.32819   0.65337   -0.64369   -0.38595  0.08729  0.00938  0.05002  0.00068
  3.000    64.65578   128.78354    -0.06303   0.40198   0.83633   -0.81022   -0.49120  0.11523  0.01404  0.07493  0.00096
  3.500    64.49433   125.68143    -0.08768   0.47355   1.02954   -0.97913   -0.60106  0.14688  0.02007  0.10479  0.00126
  4.000    64.25038   122.92236    -0.11609   0.54247   1.22276   -1.14886   -0.71092  0.17853  0.02610  0.13940  0.00159
  4.500    63.95500   120.43784    -0.14803   0.60854   1.42419   -1.31830   -0.82409  0.21452  0.03380  0.17856  0.00193
  5.000    63.62701   118.17818    -0.18330   0.67168   1.62562   -1.48664   -0.93726  0.25050  0.04150  0.22202  0.00227
  5.500    63.27837   116.10611    -0.22169   0.73192   1.83076   -1.65332   -1.05159  0.29025  0.05070  0.26956  0.00263
  6.000    62.91691   114.19291    -0.26298   0.78930   2.03590   -1.81792   -1.16591  0.33001  0.05989  0.32095  0.00298
  6.500    62.54793   112.41598    -0.30699   0.84394   2.24168   -1.98015   -1.28008  0.37307  0.07040  0.37598  0.00335
  7.000    62.17505   110.75719    -0.35353   0.89593   2.44747   -2.13982   -1.39426  0.41614  0.08091  0.43442  0.00372
  7.500    61.80081   109.20177    -0.40243   0.94539   2.65175   -2.29678   -1.50745  0.46214  0.09258  0.49608  0.00409
  8.000    61.42700   107.73755    -0.45351   0.99246   2.85604   -2.45097   -1.62064  0.50814  0.10424  0.56076  0.00447
  8.500    61.05489   106.35437    -0.50663   1.03726   3.05729   -2.60232   -1.73234  0.55676  0.11691  0.62829  0.00487
  9.000    60.68537   105.04364    -0.56163   1.07990   3.25854   -2.75083   -1.84404  0.60538  0.12959  0.69848  0.00528
  9.500    60.31907   103.79808    -0.61839   1.12051   3.45566   -2.89651   -1.95393  0.65634  0.14315  0.77118  0.00571
 10.000    59.95644   102.61142    -0.67678   1.15920   3.65277   -3.03938   -2.06382  0.70730  0.15671  0.84624  0.00615
 10.500    59.59780   101.47823    -0.73667   1.19607   3.84339   -3.17948   -2.17115  0.76075  0.17119  0.92351  0.00663
 11.000    59.24331   100.39390    -0.79796   1.23123   4.03162   -3.31686   -2.27749  0.81529  0.18607  1.00285  0.00713
 11.500    58.89312    99.35420    -0.86055   1.26478   4.22259   -3.45156   -2.38487  0.86890  0.20061  1.08415  0.00767
 12.000    58.54729    98.35559    -0.92433   1.29679   4.41047   -3.58366   -2.49116  0.92329  0.21543  1.16728  0.00824
 12.500    58.20584    97.39481    -0.98922   1.32738   4.58956   -3.71322   -2.59425  0.98021  0.23116  1.25212  0.00886
 13.000    57.86877    96.46906    -1.05513   1.35660   4.76584   -3.84030   -2.69628  1.03806  0.24722  1.33859  0.00952
 13.500    57.53602    95.57576    -1.12200   1.38454   4.94515   -3.96497   -2.79937  1.09514  0.26301  1.42656  0.01023
 14.000    57.20757    94.71267    -1.18973   1.41126   5.12121   -4.08729   -2.90140  1.15283  0.27901  1.51597  0.01100
 14.500    56.88333    93.87771    -1.25827   1.43684   5.28783   -4.20734   -3.00025  1.21257  0.29573  1.60670  0.01182
 15.000    56.56325    93.06906    -1.32755   1.46134   5.45133   -4.32519   -3.09802  1.27306  0.31272  1.69869  0.01270
